Date,Open,High,Low,Close,Quantity,PERatio
20150105,43.40,43.40,42.80,43.00,2842933,14.88
20150106,42.50,42.60,42.10,42.25,7654419,14.62
20150107,42.25,42.55,41.85,42.10,8719024,14.57
20150108,42.25,42.65,42.10,42.25,8697776,14.62
20150109,42.30,42.60,41.80,41.80,10494129,14.46
20150112,41.60,41.70,40.60,40.75,14743805,14.10
20150113,40.70,41.40,40.50,41.30,9078712,14.29
20150114,41.30,41.70,40.90,41.30,10408761,14.29
20150115,41.30,41.70,41.15,41.45,7820632,14.34
20150116,41.45,41.65,41.00,41.45,13346241,14.34
20150119,41.70,42.25,41.55,41.70,9378707,14.43
20150120,41.70,42.00,41.35,41.80,9046317,14.46
20150121,42.00,42.10,41.50,41.60,9839094,14.39
20150122,41.60,42.15,41.55,42.00,7736900,14.53
20150123,42.30,42.30,42.05,42.25,6099711,14.62
20150126,42.25,42.50,42.05,42.50,4801173,14.71
20150127,42.65,42.70,42.50,42.70,5134639,14.78
20150128,42.50,42.95,42.50,42.95,5952553,14.86
20150129,42.70,42.75,42.10,42.10,8902479,14.57
20150130,42.45,42.90,42.30,42.60,10361097,14.74
20150202,42.60,42.80,42.30,42.75,3475137,14.79
20150203,42.95,42.95,42.50,42.50,5587123,14.71
20150204,42.00,42.60,42.00,42.25,6580244,14.62
20150205,42.25,42.35,42.15,42.20,5067369,14.60
20110124,31.90,31.90,31.30,31.70,5421333,14.74
20110125,31.60,31.85,31.40,31.50,8162569,14.65
20110126,31.70,31.80,31.45,31.55,6101671,14.67
20110127,31.75,31.90,31.45,31.45,12523905,14.63
20110128,31.50,31.75,31.25,31.35,12368325,14.58
20110208,31.50,31.50,30.00,30.15,34420197,14.02
20110209,30.20,30.40,29.95,30.10,20918272,14.00
20110210,30.10,30.25,29.70,29.85,22195172,13.88
20110211,30.25,30.25,29.70,29.70,16834620,13.81
20110214,29.90,29.90,29.60,29.80,16381041,13.86
20110215,29.60,30.40,29.30,30.20,21827091,14.05
20110216,30.00,30.30,29.90,30.20,15232366,14.05
20110217,30.20,30.20,29.80,30.05,9048892,13.98
20110218,30.40,30.45,30.20,30.25,10940781,14.07
20110221,30.40,30.85,30.05,30.60,14919085,14.23
20110222,30.10,30.20,29.80,30.00,15701722,13.95
20110223,29.80,30.10,29.55,29.55,12136271,13.74
20110224,29.95,29.95,29.30,29.35,13888668,13.65
20110225,29.65,29.65,29.35,29.40,7750979,13.67
20110301,29.40,29.60,29.35,29.45,15334511,13.70
20110302,29.45,30.30,29.40,29.65,15894314,13.79
20110303,29.80,31.25,29.80,31.00,17872920,14.42
20110304,31.10,31.40,31.00,31.35,18247391,14.58
20110307,31.30,31.35,30.80,31.20,7550566,14.51
20110308,31.10,31.65,31.10,31.45,13293637,14.63
20110309,31.60,31.65,31.30,31.60,7870791,14.70
20110310,31.60,31.60,31.25,31.40,4332116,14.60
20110311,30.80,31.20,30.80,30.95,4322488,14.40
20110314,33.00,33.00,31.55,31.75,24011361,14.77
20110315,31.80,31.95,29.70,30.90,15740510,14.37
20110316,30.90,31.45,30.90,31.10,17057918,14.47
20110317,30.60,31.65,30.55,31.45,9294537,14.63
20110318,31.70,32.20,31.35,32.10,18572160,14.93
20110321,32.20,32.50,31.80,32.20,10807794,14.98
20110322,32.50,32.50,32.10,32.45,12466082,15.09
20110323,32.50,33.90,32.45,33.45,42969114,15.56
20110324,33.90,34.10,33.25,33.35,23068891,15.51
20110325,33.60,33.85,33.50,33.50,20344906,15.58
20110328,33.80,34.35,33.55,34.00,31432452,15.81
20110329,34.50,35.75,34.40,35.50,49634213,16.51
20110330,35.80,36.10,35.50,36.00,38511058,16.74
20110331,36.10,36.20,35.30,35.50,24910351,16.51
20110401,35.50,36.40,35.45,36.30,23967580,16.88
20110406,37.00,37.00,35.95,36.45,33306759,16.95
20110407,36.50,36.55,35.70,36.40,24395920,16.93
