Date,Open
2014/1/3,154.45
2014/1/6,156.95
2014/1/7,157
2014/1/8,157.1
2014/1/9,157.4
2014/1/10,158.05
2014/1/13,156.1
2014/1/14,153.05
2014/1/15,152.85
2014/1/16,152.25
2014/1/17,149.5
2014/1/20,146.25
2014/1/21,148.5
2014/1/22,148.35
2014/1/23,149.05
2014/1/24,147.25
2014/1/27,143
2014/1/28,140.9
2014/1/29,140
2014/1/30,141.8
2014/1/31,141.35
2014/2/3,140.85
2014/2/4,141.2
2014/2/5,143.15
2014/2/6,144.3
2014/2/7,142.45
2014/2/10,144.35
2014/2/11,144.2
2014/2/12,145.3
2014/2/13,144
2014/2/14,141.55
2014/2/17,140.55
2014/2/18,139.1
2014/2/19,140.35
2014/2/20,139.35
2014/2/21,141.25
2014/2/24,142.75
2014/2/25,143.2
2014/2/26,141.7
2014/2/28,140.15
2014/3/3,139.95
2014/3/4,136.8
2014/3/5,141.45
2014/3/6,141.5
2014/3/7,143.5
2014/3/10,143.9
2014/3/11,143.8
2014/3/12,146.05
2014/3/13,146
2014/3/14,142
2014/3/18,142.7
2014/3/19,143.2
2014/3/20,140.7
2014/3/21,143
2014/3/22,144.15
2014/3/24,143.15
2014/3/25,142.55
2014/3/26,144
2014/3/27,143
2014/3/28,142.85
2014/3/31,150
2014/4/1,151.45
2014/4/2,155
2014/4/3,154
2014/4/4,152
2014/4/7,149.3
2014/4/9,152.75
2014/4/10,155.1
2014/4/11,152.2
2014/4/15,153.85
2014/4/16,153.25
2014/4/17,151
2014/4/21,158.25
2014/4/22,156.95
2014/4/23,157.85
2014/4/25,156.5
2014/4/28,153
2014/4/29,153
2014/4/30,152.45
2014/5/2,149.45
2014/5/5,148.6
2014/5/6,147.05
2014/5/7,145.05
2014/5/8,145.05
2014/5/9,142.1
2014/5/12,145.8
2014/5/13,145.5
2014/5/14,147
2014/5/15,148
2014/5/16,146.35
2014/5/19,146
2014/5/20,152.95
2014/5/21,155.6
2014/5/22,154.5
2014/5/23,156
2014/5/26,158.5
2014/5/27,157.3
2014/5/28,157
2014/5/29,154.5
2014/5/30,150
2014/6/2,149.4
2014/6/3,148
2014/6/4,150
2014/6/5,154.3
2014/6/6,157
2014/6/9,173.85
2014/6/10,171.65
2014/6/11,175.8
2014/6/12,168.4
2014/6/13,170
2014/6/16,162.3
2014/6/17,166
2014/6/18,167
2014/6/19,164.6
2014/6/20,162.6
2014/6/23,166
2014/6/24,167.45
2014/6/25,166.3
2014/6/26,169
2014/6/27,168
2014/6/30,172.45
2014/7/1,173.35
2014/7/2,176.25
2014/7/3,175
2014/7/4,168.1
2014/7/7,168.1
2014/7/8,167.65
2014/7/9,158
2014/7/10,155.45
2014/7/11,154.8
2014/7/14,148.85
2014/7/15,152.35
2014/7/16,153.75
2014/7/17,157.25
2014/7/18,159.85
2014/7/21,161.5
2014/7/22,159.5
2014/7/23,159.5
2014/7/24,156.7
2014/7/25,156.2
2014/7/28,152.5
2014/7/30,155.95
2014/7/31,152.8
2014/8/1,152
2014/8/4,155.05
2014/8/5,154.1
2014/8/6,153.65
2014/8/7,153.6
2014/8/8,152.7
2014/8/11,150.7
2014/8/12,151.5
2014/8/13,153.1
2014/8/14,152.65
2014/8/18,152.2
2014/8/19,155.35
2014/8/20,156.55
2014/8/21,158.5
2014/8/22,158.5
2014/8/25,155.5
2014/8/26,154.4
2014/8/27,153.35
2014/8/28,153.4
2014/9/1,151.1
2014/9/2,153
2014/9/3,156.8
2014/9/4,154
2014/9/5,163.8
2014/9/8,163.05
2014/9/9,165.1
2014/9/10,163.5
2014/9/11,162.85
2014/9/12,168
2014/9/15,169
2014/9/16,167.05
2014/9/17,160.7
2014/9/18,160.05
2014/9/19,165.7
2014/9/22,168
2014/9/23,170.2
2014/9/24,165.2
2014/9/25,165.4
2014/9/26,159
2014/9/29,160
2014/9/30,159.1
2014/10/1,160
2014/10/7,158.25
2014/10/8,158
2014/10/9,160.45
2014/10/10,160.65
2014/10/13,159.6
2014/10/14,158.4
2014/10/16,156.05
2014/10/17,152.75
2014/10/20,154.55
2014/10/21,154.1
2014/10/22,156.8
2014/10/23,157.6
2014/10/27,159.25
2014/10/28,156.75
2014/10/29,157
2014/10/30,157.15
2014/10/31,158.9
2014/11/3,161
2014/11/5,164.8
2014/11/7,157.9
2014/11/10,161.05
2014/11/11,158.7
2014/11/12,158.85
2014/11/13,156.7
